Teste,Número de Testes,Algoritmo,Tempo de Execução,Número de Comparações,Número de Trocas
0,1000,InsertionSort,0.002501,251204,250205
0,1000,Quicksort,0.000195,10278,5727
0,1000,Mergesort,0.000232,8711,8711
0,1000,Heapsort,0.004964,362581,144816
0,1000,Meusort (Radix),0.000095,0,0
1,5000,InsertionSort,0.064396,6180865,6175866
1,5000,Quicksort,0.001216,68143,38600
1,5000,Mergesort,0.001320,55201,55201
1,5000,Heapsort,0.116526,9055725,3491593
1,5000,Meusort (Radix),0.000572,0,0
2,10000,InsertionSort,0.250328,24961039,24951040
2,10000,Quicksort,0.002349,168298,98108
2,10000,Mergesort,0.002496,120389,120389
2,10000,Heapsort,0.493979,36092765,14012722
2,10000,Meusort (Radix),0.001310,0,0
3,50000,InsertionSort,6.370477,625172904,625122905
3,50000,Quicksort,0.012893,951186,507617
3,50000,Mergesort,0.013762,717963,717963
3,50000,Heapsort,12.448464,902458604,348183116
3,50000,Meusort (Radix),0.006275,0,0
4,100000,InsertionSort,24.724019,2493728489,2493628490
4,100000,Quicksort,0.027747,2024338,1171447
4,100000,Mergesort,0.029946,1536555,1536555
4,100000,Heapsort,49.260611,3608088511,1393296587
4,100000,Meusort (Radix),0.015013,0,0
5,500000,InsertionSort,623.713549,62503738281,62503238282
5,500000,Quicksort,0.153306,11675523,5989226
5,500000,Mergesort,0.166600,8836949,8836949
5,500000,Heapsort,1255.354479,90181314444,34826818754
5,500000,Meusort (Radix),0.079631,0,0
