Teste,Número de Testes,Algoritmo,Tempo de Execução,Número de Comparações,Número de Trocas
0,1000,InsertionSort,0.002876,248143,247144
0,1000,Quicksort,0.000229,11176,5475
0,1000,Mergesort,0.000268,8702,8702
0,1000,Heapsort,0.005451,366761,140533
0,1000,Meusort (Radix),0.000128,0,0
1,5000,InsertionSort,0.065293,6262047,6257048
1,5000,Quicksort,0.001158,68415,37487
1,5000,Mergesort,0.001265,55145,55145
1,5000,Heapsort,0.119258,9035489,3512122
1,5000,Meusort (Radix),0.000582,0,0
2,10000,InsertionSort,0.245566,24923864,24913865
2,10000,Quicksort,0.002341,160805,98955
2,10000,Mergesort,0.002391,120380,120380
2,10000,Heapsort,0.493515,36113904,13990990
2,10000,Meusort (Radix),0.001306,0,0
3,50000,InsertionSort,6.363794,626028456,625978457
3,50000,Quicksort,0.013125,929994,543113
3,50000,Mergesort,0.013572,717985,717985
3,50000,Heapsort,12.806211,902445204,348196030
3,50000,Meusort (Radix),0.006325,0,0
4,100000,InsertionSort,25.009469,2498379501,2498279502
4,100000,Quicksort,0.028295,2052074,1226213
4,100000,Mergesort,0.028696,1536427,1536427
4,100000,Heapsort,49.556000,3604759680,1396628056
4,100000,Meusort (Radix),0.015835,0,0
5,500000,InsertionSort,622.981303,62410745198,62410245199
5,500000,Quicksort,0.151391,11394533,5733769
5,500000,Mergesort,0.165463,8837006,8837006
5,500000,Heapsort,1255.274338,90187436578,34820698202
5,500000,Meusort (Radix),0.087915,0,0
