Número de Testes,Algoritmo,Tempo de Execução,Taxa de Compressão,Taxa de Compressão Em Disco,Armazenamento Em Disco
1000,Huffman,0.097771,0.413124,0.416135,70956.000000
1000,LZW,0.168551,0.743221,0.490669,61898.000000
5000,Huffman,0.541551,0.410864,0.413682,396091.000000
5000,LZW,0.957440,0.802252,0.607432,265202.000000
10000,Huffman,1.081105,0.409293,0.411455,822957.000000
10000,LZW,1.944797,0.820870,0.644301,497370.000000
15000,Huffman,1.685492,0.407778,0.409822,1289781.000000
15000,LZW,2.993989,0.831381,0.665076,731946.000000
