Número de Testes,Algoritmo,Tempo de Execução,Taxa de Compressão,Taxa de Compressão Em Disco,Armazenamento Em Disco
1000,Huffman,0.129654,0.413124,0.416060,70965.000000
1000,LZW,0.175528,0.743578,0.491376,61812.000000
5000,Huffman,0.685170,0.410864,0.413725,396062.000000
5000,LZW,0.941481,0.802442,0.607808,264948.000000
10000,Huffman,1.254679,0.409293,0.411429,822993.000000
10000,LZW,2.235022,0.820883,0.644327,497334.000000
15000,Huffman,1.685492,0.407778,0.409786,1289861.000000
15000,LZW,2.988004,0.831274,0.664864,732410.000000
