Número de Testes,Algoritmo,Tempo de Execução,Taxa de Compressão,Taxa de Compressão Em Disco,Armazenamento Em Disco
1000,Huffman,0.098733,0.413124,0.416011,70971.000000
1000,LZW,0.176527,0.743636,0.491492,61798.000000
5000,Huffman,0.549531,0.410864,0.413657,396108.000000
5000,LZW,0.924496,0.802396,0.607716,265010.000000
10000,Huffman,1.083104,0.409293,0.411455,822957.000000
10000,LZW,1.907894,0.820859,0.644281,497398.000000
15000,Huffman,1.743335,0.407778,0.409814,1289799.000000
15000,LZW,3.244316,0.831328,0.664971,732176.000000
