Número de Testes,Algoritmo,Tempo de Execução,Taxa de Compressão,Taxa de Compressão Em Disco,Armazenamento Em Disco
1000,Huffman,0.110701,0.413124,0.416167,70952.000000
1000,LZW,0.166586,0.743495,0.491212,61832.000000
5000,Huffman,0.538560,0.410864,0.413642,396118.000000
5000,LZW,0.922530,0.802324,0.607574,265106.000000
10000,Huffman,1.093074,0.409293,0.411364,823084.000000
10000,LZW,1.874985,0.820890,0.644343,497312.000000
15000,Huffman,1.716446,0.407778,0.409820,1289786.000000
15000,LZW,2.940134,0.831379,0.665074,731952.000000
