Teste,Número de Testes,Algoritmo,Tempo de Execução,Número de Comparações,Número de Colisões,Gasto de Memoria
0,1000,Enderecamento por Sondagem Linear,0.000576,24301,23301,143360
0,1000,Enderecamento por Sondagem Quadratica,0.000603,18085,17085,176128
0,1000,Encadeamento Separado,0.000427,1391,118,237568
0,1000,Encadeamento Coalescido,0.001796,218483,217483,237568
0,1000,Enderecamento por Duplo Hash,0.000651,12163,11153,274432
1,5000,Enderecamento por Sondagem Linear,0.004315,276543,271543,651264
1,5000,Enderecamento por Sondagem Quadratica,0.003322,133607,128607,659456
1,5000,Encadeamento Separado,0.002379,6960,641,958464
1,5000,Encadeamento Coalescido,0.032212,5301910,5296910,966656
1,5000,Enderecamento por Duplo Hash,0.003719,94026,89016,966656
2,10000,Enderecamento por Sondagem Linear,0.008845,708696,698696,1699840
2,10000,Enderecamento por Sondagem Quadratica,0.007738,424100,414100,1699840
2,10000,Encadeamento Separado,0.004327,13922,1264,2273280
2,10000,Encadeamento Coalescido,0.129339,21424250,21414250,2285568
2,10000,Enderecamento por Duplo Hash,0.008349,259677,249667,2293760
3,50000,Enderecamento por Sondagem Linear,0.065477,6512330,6462330,5951488
3,50000,Enderecamento por Sondagem Quadratica,0.044871,2559340,2509340,6004736
3,50000,Encadeamento Separado,0.025762,69623,6418,8749056
3,50000,Encadeamento Coalescido,3.056635,539471954,539421954,8802304
3,50000,Enderecamento por Duplo Hash,0.055439,2172412,2122402,8855552
4,100000,Enderecamento por Sondagem Linear,0.198979,22711742,22611742,16060416
4,100000,Enderecamento por Sondagem Quadratica,0.138376,11023096,10923096,16060416
4,100000,Encadeamento Separado,0.053575,139323,12894,21528576
4,100000,Encadeamento Coalescido,12.475198,18446744071579562952,18446744071579462952,21630976
4,100000,Enderecamento por Duplo Hash,0.127588,5453779,5353769,21733376
5,500000,Enderecamento por Sondagem Linear,2.262176,310604317,310104317,58249216
5,500000,Enderecamento por Sondagem Quadratica,1.724998,197857190,197357190,58753024
5,500000,Encadeamento Separado,0.278453,698236,66131,85893120
5,500000,Encadeamento Coalescido,328.674773,18446744072260237071,18446744072259737071,81317888
5,500000,Enderecamento por Duplo Hash,1.689023,89283993,88783983,81821696
