Teste,Número de Testes,Algoritmo,Tempo de Execução,Número de Comparações,Número de Trocas
0,1000,InsertionSort,0.002397,240146,239147
0,1000,Quicksort,0.000205,11602,6486
0,1000,Mergesort,0.000232,8713,8713
0,1000,Heapsort,0.004910,360710,146654
0,1000,Meusort (Radix),0.000091,0,0
1,5000,InsertionSort,0.071609,6256498,6251499
1,5000,Quicksort,0.001197,75169,38104
1,5000,Mergesort,0.001274,55304,55304
1,5000,Heapsort,0.120195,8998781,3548683
1,5000,Meusort (Radix),0.000559,0,0
2,10000,InsertionSort,0.250149,25111139,25101140
2,10000,Quicksort,0.002191,160478,82444
2,10000,Mergesort,0.002405,120430,120430
2,10000,Heapsort,0.476691,36184457,13920339
2,10000,Meusort (Radix),0.001294,0,0
3,50000,InsertionSort,6.187249,626308800,626258801
3,50000,Quicksort,0.012705,905025,509307
3,50000,Mergesort,0.013487,718192,718192
3,50000,Heapsort,12.271571,903476926,347163611
3,50000,Meusort (Radix),0.006250,0,0
4,100000,InsertionSort,24.699984,2507183146,2507083147
4,100000,Quicksort,0.027334,1951931,1154282
4,100000,Mergesort,0.030027,1536235,1536235
4,100000,Heapsort,49.317872,3604921681,1396463772
4,100000,Meusort (Radix),0.014852,0,0
5,500000,InsertionSort,620.986273,62541736763,62541236764
5,500000,Quicksort,0.158967,11800159,6269907
5,500000,Mergesort,0.166372,8837284,8837284
5,500000,Heapsort,1254.011673,90215124449,34793013274
5,500000,Meusort (Radix),0.077210,0,0
