Teste,Número de Testes,Algoritmo,Tempo de Execução,Número de Comparações,Número de Trocas
0,1000,InsertionSort,0.002464,247476,246477
0,1000,Quicksort,0.000214,10856,5915
0,1000,Mergesort,0.000285,8734,8734
0,1000,Heapsort,0.005418,363690,143716
0,1000,Meusort (Radix),0.000109,0,0
1,5000,InsertionSort,0.065127,6290119,6285120
1,5000,Quicksort,0.001093,72771,43198
1,5000,Mergesort,0.001155,55170,55170
1,5000,Heapsort,0.114283,8990620,3556741
1,5000,Meusort (Radix),0.000575,0,0
2,10000,InsertionSort,0.254654,25091457,25081458
2,10000,Quicksort,0.002457,149695,76827
2,10000,Mergesort,0.002664,120426,120426
2,10000,Heapsort,0.490357,36015030,14089858
2,10000,Meusort (Radix),0.001307,0,0
3,50000,InsertionSort,6.240018,623622938,623572939
3,50000,Quicksort,0.013068,972197,528846
3,50000,Mergesort,0.013835,718252,718252
3,50000,Heapsort,12.435955,901767280,348874865
3,50000,Meusort (Radix),0.006284,0,0
4,100000,InsertionSort,24.833019,2497207049,2497107050
4,100000,Quicksort,0.026609,1898657,1041716
4,100000,Mergesort,0.030147,1536373,1536373
4,100000,Heapsort,49.888581,3609854822,1391530237
4,100000,Meusort (Radix),0.015049,0,0
5,500000,InsertionSort,628.800008,62474134387,62473634388
5,500000,Quicksort,0.161616,12206952,6538960
5,500000,Mergesort,0.163013,8836759,8836759
5,500000,Heapsort,1251.004846,90166721174,34841415163
5,500000,Meusort (Radix),0.076262,0,0
