Teste,Número de Testes,Algoritmo,Tempo de Execução,Número de Comparações,Número de Colisões,Gasto de Memoria
0,1000,Enderecamento por Sondagem Linear,0.000575,24301,23301,118784
0,1000,Enderecamento por Sondagem Quadratica,0.000586,14553,13553,151552
0,1000,Encadeamento Separado,0.000422,1391,118,212992
0,1000,Encadeamento Coalescido,0.001888,219773,218773,212992
0,1000,Enderecamento por Duplo Hash,0.000758,13277,12267,249856
1,5000,Enderecamento por Sondagem Linear,0.003924,276543,271543,630784
1,5000,Enderecamento por Sondagem Quadratica,0.003174,111067,106067,634880
1,5000,Encadeamento Separado,0.002153,6960,641,905216
1,5000,Encadeamento Coalescido,0.033599,5351380,5346380,913408
1,5000,Enderecamento por Duplo Hash,0.004121,124205,119195,917504
2,10000,Enderecamento por Sondagem Linear,0.008677,708696,698696,1654784
2,10000,Enderecamento por Sondagem Quadratica,0.008217,492379,482379,1654784
2,10000,Encadeamento Separado,0.004330,13922,1264,2146304
2,10000,Encadeamento Coalescido,0.125786,21639246,21629246,2146304
2,10000,Enderecamento por Duplo Hash,0.008646,285309,275299,2146304
3,50000,Enderecamento por Sondagem Linear,0.064451,6512330,6462330,5808128
3,50000,Enderecamento por Sondagem Quadratica,0.048863,3127813,3077813,5861376
3,50000,Encadeamento Separado,0.026498,69623,6418,8630272
3,50000,Encadeamento Coalescido,3.025126,541540482,541490482,8683520
3,50000,Enderecamento por Duplo Hash,0.051616,1941875,1891865,8736768
4,100000,Enderecamento por Sondagem Linear,0.189215,22711742,22611742,15941632
4,100000,Enderecamento por Sondagem Quadratica,0.122485,9199782,9099782,15941632
4,100000,Encadeamento Separado,0.052680,139323,12894,20946944
4,100000,Encadeamento Coalescido,12.297179,18446744071582705445,18446744071582605445,21049344
4,100000,Enderecamento por Duplo Hash,0.127293,5622483,5522473,21151744
5,500000,Enderecamento por Sondagem Linear,2.227185,310604317,310104317,57659392
5,500000,Enderecamento por Sondagem Quadratica,1.516963,169910809,169410809,58163200
5,500000,Encadeamento Separado,0.274085,698236,66131,86409216
5,500000,Encadeamento Coalescido,328.738509,18446744072295309654,18446744072294809654,81055744
5,500000,Enderecamento por Duplo Hash,1.640360,88149424,87649414,81559552
