Teste,Número de Testes,Algoritmo,Tempo de Execução,Número de Comparações,Número de Trocas
0,1000,Quicksort,0.000244,11415,6334
0,1000,Quicksort Insertion (m=10),0.000257,10901,5817
0,1000,Quicksort Insertion (m=100),0.000987,25944,9838
0,1000,Quicksort Mediana (k=3),0.000812,32412,4855
0,1000,Quicksort Mediana (k=5),0.001003,26991,4869
1,5000,Quicksort,0.001214,82056,51133
1,5000,Quicksort Insertion (m=10),0.001297,79266,48072
1,5000,Quicksort Insertion (m=100),0.003249,157231,92121
1,5000,Quicksort Mediana (k=3),0.004789,314747,25031
1,5000,Quicksort Mediana (k=5),0.006071,307068,25282
2,10000,Quicksort,0.002312,165536,88032
2,10000,Quicksort Insertion (m=10),0.002616,162315,90119
2,10000,Quicksort Insertion (m=100),0.006653,333598,173000
2,10000,Quicksort Mediana (k=3),0.010500,906266,47482
2,10000,Quicksort Mediana (k=5),0.013676,877254,54237
3,50000,Quicksort,0.013159,969508,508718
3,50000,Quicksort Insertion (m=10),0.014832,1011808,571592
3,50000,Quicksort Insertion (m=100),0.035602,1819075,978046
3,50000,Quicksort Mediana (k=3),0.101191,9349473,361343
3,50000,Quicksort Mediana (k=5),0.103819,9008591,331579
4,100000,Quicksort,0.029826,2176858,1112886
4,100000,Quicksort Insertion (m=10),0.033481,1972103,1059488
4,100000,Quicksort Insertion (m=100),0.074461,3609330,1873937
4,100000,Quicksort Mediana (k=3),0.204389,25001808,774488
4,100000,Quicksort Mediana (k=5),0.224436,25286547,765698
5,500000,Quicksort,0.161955,12288877,6163146
5,500000,Quicksort Insertion (m=10),0.179342,12276576,7019628
5,500000,Quicksort Insertion (m=100),0.374989,20321743,10999174
5,500000,Quicksort Mediana (k=3),1.788361,280552035,3981009
5,500000,Quicksort Mediana (k=5),1.933929,280615037,3884304
