Teste,Número de Testes,Algoritmo,Tempo de Execução,Número de Comparações,Número de Trocas
0,1000,Quicksort,0.000246,11668,6849
0,1000,Quicksort Insertion (m=10),0.000300,10999,6164
0,1000,Quicksort Insertion (m=100),0.001029,29564,12669
0,1000,Quicksort Mediana (k=3),0.001083,33109,4318
0,1000,Quicksort Mediana (k=5),0.001805,28180,4670
1,5000,Quicksort,0.001080,72319,38673
1,5000,Quicksort Insertion (m=10),0.001240,73691,42161
1,5000,Quicksort Insertion (m=100),0.003103,149797,82562
1,5000,Quicksort Mediana (k=3),0.004605,325444,26779
1,5000,Quicksort Mediana (k=5),0.006068,310860,28849
2,10000,Quicksort,0.002236,159674,80550
2,10000,Quicksort Insertion (m=10),0.002634,149593,83651
2,10000,Quicksort Insertion (m=100),0.006636,317069,176965
2,10000,Quicksort Mediana (k=3),0.010422,897700,48508
2,10000,Quicksort Mediana (k=5),0.014322,885409,51956
3,50000,Quicksort,0.013484,1036727,528461
3,50000,Quicksort Insertion (m=10),0.014588,945933,505129
3,50000,Quicksort Insertion (m=100),0.035695,1778355,918537
3,50000,Quicksort Mediana (k=3),0.094258,9230935,317744
3,50000,Quicksort Mediana (k=5),0.102626,8692760,392367
4,100000,Quicksort,0.029951,2052391,1084605
4,100000,Quicksort Insertion (m=10),0.032791,2035601,1092874
4,100000,Quicksort Insertion (m=100),0.075789,3671550,1910752
4,100000,Quicksort Mediana (k=3),0.205987,25708902,629550
4,100000,Quicksort Mediana (k=5),0.243404,26113209,688821
5,500000,Quicksort,0.177583,11663860,5683118
5,500000,Quicksort Insertion (m=10),0.192164,11659890,6395795
5,500000,Quicksort Insertion (m=100),0.382301,19754895,10449620
5,500000,Quicksort Mediana (k=3),2.172415,274056524,4061500
5,500000,Quicksort Mediana (k=5),2.237834,275417621,3976166
