Teste,Número de Testes,Algoritmo,Tempo de Execução,Número de Comparações,Número de Trocas
0,1000,Quicksort,0.000237,12936,6558
0,1000,Quicksort Insertion (m=10),0.000253,12359,5925
0,1000,Quicksort Insertion (m=100),0.000605,27723,9202
0,1000,Quicksort Mediana (k=3),0.000824,29848,5134
0,1000,Quicksort Mediana (k=5),0.001341,28097,3958
1,5000,Quicksort,0.001129,73436,45142
1,5000,Quicksort Insertion (m=10),0.001214,70550,41935
1,5000,Quicksort Insertion (m=100),0.003167,150395,86317
1,5000,Quicksort Mediana (k=3),0.005021,299767,23245
1,5000,Quicksort Mediana (k=5),0.006191,312313,25483
2,10000,Quicksort,0.002249,163982,81216
2,10000,Quicksort Insertion (m=10),0.002473,150252,81931
2,10000,Quicksort Insertion (m=100),0.006349,310099,157601
2,10000,Quicksort Mediana (k=3),0.010151,824670,46948
2,10000,Quicksort Mediana (k=5),0.013549,797849,52649
3,50000,Quicksort,0.013598,1003119,465080
3,50000,Quicksort Insertion (m=10),0.014928,986491,545025
3,50000,Quicksort Insertion (m=100),0.035346,1778231,966915
3,50000,Quicksort Mediana (k=3),0.079446,9074841,308069
3,50000,Quicksort Mediana (k=5),0.095247,9311444,345546
4,100000,Quicksort,0.029793,2146887,1046779
4,100000,Quicksort Insertion (m=10),0.034256,2104488,1220373
4,100000,Quicksort Insertion (m=100),0.079022,3744972,2069102
4,100000,Quicksort Mediana (k=3),0.224457,26511809,895616
4,100000,Quicksort Mediana (k=5),0.227276,26192005,618676
5,500000,Quicksort,0.156289,11742498,5705509
5,500000,Quicksort Insertion (m=10),0.170014,11601846,6132057
5,500000,Quicksort Insertion (m=100),0.369481,19763374,10310954
5,500000,Quicksort Mediana (k=3),1.731561,278158204,3846596
5,500000,Quicksort Mediana (k=5),1.848311,271110086,3670616
