Teste,Número de Testes,Algoritmo,Tempo de Execução,Número de Comparações,Número de Trocas
0,1000,Quicksort,0.000217,11552,7105
0,1000,Quicksort Insertion (m=10),0.000251,11054,6393
0,1000,Quicksort Insertion (m=100),0.000586,23978,17685
0,1000,Quicksort Mediana (k=3),0.000729,29038,4125
0,1000,Quicksort Mediana (k=5),0.001035,30592,4256
1,5000,Quicksort,0.001281,70853,39429
1,5000,Quicksort Insertion (m=10),0.001341,72160,41161
1,5000,Quicksort Insertion (m=100),0.003383,146945,78548
1,5000,Quicksort Mediana (k=3),0.005272,331516,22223
1,5000,Quicksort Mediana (k=5),0.007120,280717,28357
2,10000,Quicksort,0.002313,175503,79508
2,10000,Quicksort Insertion (m=10),0.002902,162910,96038
2,10000,Quicksort Insertion (m=100),0.006627,316149,178417
2,10000,Quicksort Mediana (k=3),0.011909,947680,50862
2,10000,Quicksort Mediana (k=5),0.014419,887184,57121
3,50000,Quicksort,0.013760,1049702,516436
3,50000,Quicksort Insertion (m=10),0.014193,924590,496284
3,50000,Quicksort Insertion (m=100),0.035065,1724086,893386
3,50000,Quicksort Mediana (k=3),0.080191,8588624,349618
3,50000,Quicksort Mediana (k=5),0.109407,9267173,363761
4,100000,Quicksort,0.029766,2090549,1087585
4,100000,Quicksort Insertion (m=10),0.033339,1994863,1038624
4,100000,Quicksort Insertion (m=100),0.074214,3621168,1801622
4,100000,Quicksort Mediana (k=3),0.202906,24611358,826188
4,100000,Quicksort Mediana (k=5),0.228211,24214654,816529
5,500000,Quicksort,0.169625,12132065,6186649
5,500000,Quicksort Insertion (m=10),0.175686,12177109,6542777
5,500000,Quicksort Insertion (m=100),0.393832,20252820,10683992
5,500000,Quicksort Mediana (k=3),1.969843,282140910,3849643
5,500000,Quicksort Mediana (k=5),2.012391,284339394,4217092
